original,found_address,lat,lon,url,classification2,incident_type2,location,date2
"""Stillwater Police Department"" 
""Stillwater, Minn."", Minnesota","Stillwater Ave, Stillwater, MN 55082",45.065998,-92.810866,https://assets.nationbuilder.com/cuapb/pages/1472/attachments/original/1670343760/Miller_Davin_Ex-officer_charged_with_theft_from_Scouts.pdf?1670343760,News article,Lack of Standard Operating Procedure (SOP),"""Stillwater Police Department"" 
""Stillwater, Minn.""","October 23, 2000"
"Highway 169 near Belle Plaine, Minnesota","Belle Plaine, MN 56011",44.608912,-93.757888,https://assets.nationbuilder.com/cuapb/pages/1472/attachments/original/1672124550/Pasek_3_Belle_Plaine_officer_suspected_of_DWI_after_driving_96_mph_-_Bring_Me_The_News.pdf?1672124550,News article,Excessive Force,Highway 169 near Belle Plaine,"""March 8, 2018"""
"Hennepin County jail, Minnesota","Hennepin County, MN",45.006121,-93.475228,https://assets.nationbuilder.com/cuapb/pages/1472/attachments/original/1670604036/Nielsen_Robert_Report_Police_detective_from_area_jailed_Shakopee_News.pdf?1670604036,News article,Excessive Force,Hennepin County jail,09/20/2006
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659322/RCA-2022-00169_-_Legal_Settlement_Workers'_Compensation_claim_of_Jason_Wolff.pdf?1647659322,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/18/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659325/RCA-2022-00175_-_Legal_Settlement_Workers'_Compensation_claim_of_Brian_Grahme.pdf?1647659325,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""March 18, 2022"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659326/RCA-2022-00188_-_Legal_Settlement_Workers'_Compensation_claim_of_Sherry_Appledorn.pdf?1647659326,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/07/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637590/RCA-2021-00673_-_Legal_Settlement_Workers'_Compensation_claims_of_Jeffrey_Kading.pdf?1638637590,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,06/16/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637587/RCA-2021-00438_-_Legal_Settlement_Workers'_Compensation_claim_of_Gregory_Freeman.pdf?1638637587,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637583/RCA-2021-00426_-_Legal_Settlement_Workers'_Compensation_claim_of_Kyle_Severson.pdf?1638637583,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637604/RCA-2021-01088_-_Legal_settlement_Workers'_Compensation_claim_of_David_Elliot.pdf?1638637604,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,09/22/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638994128/RCA-2021-01417_-_Legal_settlement_Workers'_Compensation_claim_of_Garry_Nordine.pdf?1638994128,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""December 8, 2021"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626561287/No_charges_in_officers'_kicking_incident.pdf?1626561287,News article,Excessive Force,UNKNOWN,August
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659322/RCA-2022-00169_-_Legal_Settlement_Workers'_Compensation_claim_of_Jason_Wolff.pdf?1647659322,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/18/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659325/RCA-2022-00175_-_Legal_Settlement_Workers'_Compensation_claim_of_Brian_Grahme.pdf?1647659325,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""March 18, 2022"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659326/RCA-2022-00188_-_Legal_Settlement_Workers'_Compensation_claim_of_Sherry_Appledorn.pdf?1647659326,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/07/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637590/RCA-2021-00673_-_Legal_Settlement_Workers'_Compensation_claims_of_Jeffrey_Kading.pdf?1638637590,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,06/16/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637587/RCA-2021-00438_-_Legal_Settlement_Workers'_Compensation_claim_of_Gregory_Freeman.pdf?1638637587,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637583/RCA-2021-00426_-_Legal_Settlement_Workers'_Compensation_claim_of_Kyle_Severson.pdf?1638637583,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637604/RCA-2021-01088_-_Legal_settlement_Workers'_Compensation_claim_of_David_Elliot.pdf?1638637604,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,09/22/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638994128/RCA-2021-01417_-_Legal_settlement_Workers'_Compensation_claim_of_Garry_Nordine.pdf?1638994128,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""December 8, 2021"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626561287/No_charges_in_officers'_kicking_incident.pdf?1626561287,News article,Excessive Force,UNKNOWN,August
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659322/RCA-2022-00169_-_Legal_Settlement_Workers'_Compensation_claim_of_Jason_Wolff.pdf?1647659322,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/18/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659325/RCA-2022-00175_-_Legal_Settlement_Workers'_Compensation_claim_of_Brian_Grahme.pdf?1647659325,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""March 18, 2022"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659326/RCA-2022-00188_-_Legal_Settlement_Workers'_Compensation_claim_of_Sherry_Appledorn.pdf?1647659326,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/07/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637590/RCA-2021-00673_-_Legal_Settlement_Workers'_Compensation_claims_of_Jeffrey_Kading.pdf?1638637590,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,06/16/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637587/RCA-2021-00438_-_Legal_Settlement_Workers'_Compensation_claim_of_Gregory_Freeman.pdf?1638637587,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637583/RCA-2021-00426_-_Legal_Settlement_Workers'_Compensation_claim_of_Kyle_Severson.pdf?1638637583,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637604/RCA-2021-01088_-_Legal_settlement_Workers'_Compensation_claim_of_David_Elliot.pdf?1638637604,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,09/22/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638994128/RCA-2021-01417_-_Legal_settlement_Workers'_Compensation_claim_of_Garry_Nordine.pdf?1638994128,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""December 8, 2021"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626561287/No_charges_in_officers'_kicking_incident.pdf?1626561287,News article,Excessive Force,UNKNOWN,August
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659322/RCA-2022-00169_-_Legal_Settlement_Workers'_Compensation_claim_of_Jason_Wolff.pdf?1647659322,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/18/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659325/RCA-2022-00175_-_Legal_Settlement_Workers'_Compensation_claim_of_Brian_Grahme.pdf?1647659325,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""March 18, 2022"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://assets.nationbuilder.com/cuapb/pages/1462/attachments/original/1647659326/RCA-2022-00188_-_Legal_Settlement_Workers'_Compensation_claim_of_Sherry_Appledorn.pdf?1647659326,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,03/07/2022
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637590/RCA-2021-00673_-_Legal_Settlement_Workers'_Compensation_claims_of_Jeffrey_Kading.pdf?1638637590,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,06/16/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637587/RCA-2021-00438_-_Legal_Settlement_Workers'_Compensation_claim_of_Gregory_Freeman.pdf?1638637587,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637583/RCA-2021-00426_-_Legal_Settlement_Workers'_Compensation_claim_of_Kyle_Severson.pdf?1638637583,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,04/14/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637604/RCA-2021-01088_-_Legal_settlement_Workers'_Compensation_claim_of_David_Elliot.pdf?1638637604,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,09/22/2021
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638994128/RCA-2021-01417_-_Legal_settlement_Workers'_Compensation_claim_of_Garry_Nordine.pdf?1638994128,News article,Lack of Standard Operating Procedure (SOP),UNKNOWN,"""December 8, 2021"""
"UNKNOWN, Minnesota",Minnesota,46.316134,-94.19948,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626561287/No_charges_in_officers'_kicking_incident.pdf?1626561287,News article,Excessive Force,UNKNOWN,August
